# Sta         Lat(deg)    Long(deg)
MRTG        -21.55      167.88 
MRTN        14.47       299.14 
MRTP        -74.18      244.90 
MRVN        41.06       16.20 
MRWA        -32.14      150.36 
MRY2        30.02       270.09 
MRYB        -35.15      139.26 
MRYV        39.15       238.41 
MRZL        46.19       15.11 
MSA1        31.20       270.94 
MSAG        41.71       15.91 
MSAI        -1.33       99.09 
MSAQ        -20.45      304.33 
MSAS        34.86       270.81 
MSB5        34.11       269.31 
MSB6        34.11       269.31 
MSBA        32.65       269.63 
MSBH        31.59       269.56 
MSBL        -22.11      303.47 
MSBS        31.97       270.74 
MSBT        34.31       270.06 
MSBU        31.46       269.16 
MSBV        34.67       271.44 
MSC1        34.04       243.35 
MSCB        -18.99      303.38 
MSCD        34.20       269.43 
MSCG        -20.44      305.46 
MSCL        33.75       269.27 
MSCO        -19.00      302.36 
MSCR        34.91       271.45 
MSCT        32.72       270.43 
MSCW        34.50       269.80 
MSD1        23.16       250.28 
MSD2        35.00       253.38 
MSDC        32.44       270.89 
MSDD        40.18       274.55 
MSDO        -22.22      305.19 
MSDR        -22.19      305.07 
MSEL        44.52       11.65 
MSEU        33.55       270.82 
MSEV        31.60       270.80 
MSFL        34.28       271.58 
MSFR        38.03       14.59 
MSFX        31.23       270.13 
MSG1        31.94       269.62 
MSGA        30.39       271.35 
MSGB        30.43       271.57 
MSGD        32.97       270.08 
MSGL        40.14       16.36 
MSGN        33.34       268.96 
MSGO        33.81       269.73 
MSGP        30.37       270.88 
MSGR        33.76       270.18 
MSGT        42.88       1.63 
MSGV        33.34       268.96 
MSGW        33.47       269.79 
MSHA        41.67       273.82 
MSHN        36.33       59.48 
MSHP        37.56       238.08 
MSHS        34.74       270.55 
MSHT        31.33       270.66 
MSIB        33.51       269.65 
MSIN        30.31       270.40 
MSJK        32.33       269.82 
MSJR        -21.50      303.84 
MSKU        -1.63       13.55 
MSKY        43.24       273.95 
MSL1        34.90       269.78 
MSLC        57.86       25.05 
MSLK        47.13       240.73 
MSLS        30.86       271.57 
MSLU        30.93       271.41 
MSLV        33.11       270.93 
MSMC        31.27       269.52 
MSME        32.37       271.27 
MSMJ        -21.62      304.86 
MSMM        43.81       6.20 
MSMN        31.93       270.18 
MSNA        31.56       268.60 
MSNS        34.89       270.01 
MSNV        -23.02      305.81 
MSOB        34.23       242.79 
MSOL        46.93       245.89 
MSOX        34.36       270.47 
MSP1        -22.62      304.39 
MSPC        30.53       270.31 
MSPE        33.80       271.34 
MSPH        32.76       270.90 
MSPK        30.78       270.86 
MSPM        -21.70      302.12 
MSPN        34.24       270.98 
MSPP        30.85       270.46 
MSPT        31.88       268.99 
MSRF        32.91       269.13 
MSRT        45.54       1.52 
MSRU        38.26       15.51 
MSSB        32.83       271.51 
MSSC        30.38       270.39 
MSSN        34.62       270.03 
MSSR        32.09       269.95 
MSST        33.45       271.21 
MST1        45.49       12.24 
MST2        29.18       83.95 
MSTC        33.18       269.78 
MSTG        29.18       83.89 
MSTI        40.39       16.34 
MSTU        34.70       269.62 
MSU_        55.71       37.52 
MSVC        32.33       269.17 
MSVG        72.24       336.09 
MSVL        -34.55      150.37 
MSWB        53.91       193.21 
MSWN        33.48       270.28 
MSWS        31.69       269.60 
MSWY        31.68       271.33 
MSYZ        32.85       269.59 
MT01        45.75       12.20 
MT06        45.83       12.14 
MT10        45.89       11.90 
MTA1        34.06       241.75 
MTAK        -76.32      247.20 
MTAW        4.26        117.88 
MTB0        -35.06      138.86 
MTB1        45.75       251.45 
MTB2        -35.06      138.86 
MTB3        45.75       248.82 
MTB4        -23.32      147.65 
MTB5        45.78       251.31 
MTB6        45.76       251.32 
MTB7        45.76       251.32 
MTB8        45.90       251.65 
MTB9        45.93       248.93 
MTBA        -15.89      307.74 
MTBE        47.52       248.76 
MTBG        47.74       16.40 
MTBL        -40.18      175.54 
MTBR        45.27       251.09 
MTBT        48.49       4.56 
MTBU        -37.15      146.45 
MTC1        -43.99      170.26 
MTCA        -16.13      302.31 
MTCB        48.15       255.50 
MTCL        44.57       239.85 
MTCN        -13.56      307.73 
MTCO        -10.80      304.54 
MTCU        48.64       247.68 
MTCV        -25.95      133.21 
MTCX        -78.52      162.53 
MTDK        -7.54       36.42 
MTDM        43.88       359.52 
MTDN        -22.13      131.49 
MTDT        46.59       248.01 
MTEI        45.75       251.40 
MTEM        -37.59      143.45 
MTER        42.51       13.21 
MTFV        48.23       245.67 
MTG1        -15.88      307.69 
MTGA        -37.83      140.78 
MTGF        47.46       248.62 
MTGG        33.20       243.35 
MTGN        44.23       293.87 
MTGT        45.87       248.59 
MTGW        48.37       253.21 
MTH2        39.46       272.60 
MTHC        45.94       247.49 
MTHM        48.55       251.22 
MTHN        24.73       278.95 
MTHP        -34.14      135.33 
MTIS        -20.69      139.49 
MTIT        -17.22      305.85 
MTJI        -11.45      301.28 
MTJL        48.52       292.02 
MTJN        40.06       254.79 
MTJO        -43.99      170.46 
MTJU        -11.43      301.23 
MTKA        35.68       139.56 
MTKB        35.68       139.56 
MTL2        45.54       286.44 
MTLA        -15.23      300.65 
MTLD        -32.74      151.56 
MTLE        -15.55      305.72 
MTLG        45.31       252.66 
MTLO        47.95       249.50 
MTLS        44.16       1.55 
MTLV        45.67       249.43 
MTLW        47.05       250.56 
MTMA        -28.12      117.84 
MTMI        46.45       254.20 
MTMM        -32.71      151.38 
MTMN        46.43       0.88 
MTMR        40.92       15.00 
MTMS        48.54       250.31 
MTN2        -27.03      153.47 
MTND        -16.14      33.61 
MTNM        -13.79      303.94 
MTNT        25.87       279.09 
MTNX        -14.70      307.65 
MTOP        48.85       253.59 
MTP1        14.79       267.63 
MTP2        43.64       3.86 
MTPG        47.49       248.77 
MTPJ        48.07       247.66 
MTPL        43.64       3.86 
MTPR        -43.34      170.35 
MTQN        -41.00      175.24 
MTRA        42.53       13.24 
MTRC        47.71       255.82 
MTRZ        44.31       11.43 
MTSC        -16.69      303.83 
MTSD        47.70       255.83 
MTSF        -11.62      309.34 
MTSN        40.27       15.75 
MTSR        -12.55      304.27 
MTSU        45.66       248.96 
MTSY        48.79       254.60 
MTTG        38.00       15.70 
MTTO        42.46       12.99 
MTUM        46.95       246.53 
MTUT        -31.54      28.76 
MTV1        -34.91      303.82 
MTV2        -34.91      303.82 
MTVB        -15.01      300.05 
MTVE        -10.26      40.17 
MTVN        47.55       248.37 
MTVR        40.38       277.49 
MTVW        37.42       237.90 
MTWA        -10.27      40.20 
MTWO        44.27       288.70 
MTWP        48.10       254.33 
MTY2        25.72       259.69 
MTYS        45.24       248.62 
MTZM        47.96       251.69 
MUCK        -26.66      148.42 
MUCR        38.04       14.87 
MUDD        36.39       245.31 
MUDG        -32.59      149.58 
MUEJ        48.15       11.57 
MUER        -41.41      286.53 
MUET        25.40       68.26 
MUGL        37.22       28.36 
MUIR        46.84       238.27 
MUJA        58.46       22.23 
MUKA        48.45       22.72 
MUL1        -42.06      173.41 
MULA        38.04       358.55 
MULG        -30.28      134.06 
MULL        39.88       240.35 
MULN        36.57       239.91 
MUNE        43.28       0.27 
MUR1        43.26       12.52 
MUR2        5.03        115.07 
MURA        39.42       9.57 
MURB        43.26       12.52 
MURC        37.99       358.88 
MURE        46.56       24.57 
MURM        -35.06      149.09 
MURN        49.66       100.10 
MURR        -35.26      141.18 
MUS1        -32.25      150.93 
MUS2        59.42       24.70 
MUSB        37.17       240.69 
MUSD        34.26       240.90 
MUSK        57.26       248.48 
MUST        59.42       24.70 
MUSW        -32.25      150.94 
MUTA        31.09       35.72 
MUTG        -13.28      183.83 
MUUS        38.79       41.50 
MVAL        43.38       12.41 
MVCC        43.08       284.78 
MVEL        40.18       351.32 
MVEN        40.95       15.83 
MVFD        33.21       243.47 
MVIL        -37.51      145.74 
MVO1        16.78       297.81 
MWAL        -35.99      145.99 
MWRD        41.67       272.40 
MWSC        39.32       274.03 
MWTP        37.64       241.06 
MXAJ        19.14       261.24 
MXAS        19.36       260.84 
MXAT        19.79       260.13 
MXMX        19.43       260.82 
MXTM        19.48       261.02 
MXTO        19.28       260.39 
MYAP        -33.06      115.74 
MYB0        29.33       47.94 
MYRA        49.55       234.43 
MYRG        42.17       354.74 
MYRT        -36.56      146.72 
MYT2        40.10       249.95 
MYT5        40.10       249.95 
MYVA        65.64       343.11 
MZAC        -32.90      291.12 
MZAE        -33.25      291.85 
MZAL        -32.72      291.40 
MZAN        44.20       358.78 
MZAR        -33.20      291.53 
MZAS        -34.61      291.67 
MZAU        -33.74      290.88 
MZEC        -1.49       281.52 
MZGA        -34.98      292.30 
MZRF        -34.61      291.67 
MZSR        -34.62      291.67 
MZSW        39.11       141.20 
MZUZ        -11.43      34.01 
NABI        -3.37       135.50 
NACH        40.00       240.78 
NACO        -18.14      178.44 
NAFN        27.69       85.52 
NAGA        27.69       85.52 
NAGR        27.69       85.52 
NAHA        40.17       31.33 
NAIC        52.38       255.50 
NAIN        56.54       298.31 
NAIR        -33.36      118.04 
NAIU        41.02       247.77 
NAJF        44.72       236.73 
NAKF        41.78       271.81 
NAM4        29.00       249.86 
NAMA        19.21       42.04 
NAMO        -23.74      149.34 
NAN1        -34.02      138.26 
NANA        49.16       236.06 
NANE        45.59       27.48 
NANO        49.29       235.91 
NANT        47.15       358.35 
NAPL        26.15       278.22 
NAPO        40.87       14.28 
NAR1        17.23       269.19 
NAR2        -34.74      146.55 
NARA        -30.36      149.84 
NARB        43.20       2.97 
NARR        39.25       240.72 
NAS0        25.05       282.54 
NAS1        51.40       356.45 
NASA        29.55       264.90 
NAST        27.66       85.33 
NATL        -5.84       324.79 
NATT        45.71       5.75 
NAU1        -77.52      167.15 
NAU2        -77.52      167.15 
NAUR        -0.55       166.93 
NAUS        -3.02       299.95 
NAV1        39.89       354.45 
NAV3        -16.93      178.67 
NAVA        36.69       249.47 
NAVI        -33.95      288.18 
NAXO        37.10       25.38 
NAYC        46.70       0.40 
NAYX        32.32       244.70 
NAZR        8.57        39.29 
NBAY        46.31       280.56 
NBBA        47.62       294.33 
NBBH        47.62       294.35 
NBDT        46.56       293.89 
NBPS        34.51       243.85 
NBQU        45.43       294.05 
NBR5        35.18       282.95 
NBR6        35.18       282.95 
NBRI        -30.33      149.79 
NBRK        -29.68      145.81 
NBRX        46.62       295.17 
NBRY        30.67       263.53 
NBSS        45.18       292.68 
NBSU        45.74       294.51 
NBTF        52.74       251.77 
NBTG        -22.24      166.42 
NC77        35.12       279.08 
NCA1        35.63       280.24 
NCA2        35.72       280.23 
NCAB        35.15       280.53 
NCAH        36.28       282.98 
NCAL        35.34       279.79 
NCAO        35.72       280.23 
NCAS        54.98       358.38 
NCBC        35.37       276.49 
NCBE        34.72       283.33 
NCBI        35.85       284.44 
NCBL        35.56       283.43 
NCBR        35.91       277.65 
NCBT        36.05       280.55 
NCBU        36.09       280.56 
NCBX        35.27       284.45 
NCC1        35.10       279.18 
NCCA        35.34       280.62 
NCCE        35.35       279.16 
NCCH        34.34       282.13 
NCCI        35.02       283.68 
NCCL        34.99       281.64 
NCCM        35.89       283.77 
NCCN        35.01       281.70 
NCCO        35.38       279.44 
NCCR        35.92       283.53 
NCCT        35.35       279.16 
NCCU        36.40       284.02 
NCDK        36.18       284.25 
NCDN        35.30       281.38 
NCDU        36.18       284.25 
NCEC        35.61       282.63 
NCED        36.06       283.40 
NCEL        36.34       283.74 
NCEN        35.51       283.99 
NCET        34.65       281.48 
NCFA        35.03       281.13 
NCFC        35.33       278.13 
NCFF        33.96       282.06 
NCG5        36.07       280.26 
NCG6        36.07       280.26 
NCGA        36.44       283.28 
NCGB        36.08       280.04 
NCGD        35.22       280.00 
NCGL        35.41       281.96 
NCGO        35.42       281.94 
